SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC40875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40876,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,3,0,4,4,9,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,33
SSC40877,3,6,0,0,0,0,0,0,3,14,3,14,0,0,0,3,0,4,3,4,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
SSC40878,13,27,0,4,3,7,0,5,6,19,9,44,0,0,0,3,4,18,10,19,17,65,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,34,97
SSC40879,162,315,0,0,13,59,0,3,49,213,61,276,5,12,4,20,11,36,21,65,85,346,0,3,3,10,0,0,16,46,16,57,3,8,4,11,7,22,18,39,37,98,3,8,279,761
SSC40880,22,44,0,0,0,0,0,0,12,45,12,45,0,3,0,0,4,9,0,9,16,57,0,0,0,4,0,0,5,5,3,7,0,4,0,0,0,0,0,4,3,13,0,3,41,114
SSC40881,36,69,0,0,0,3,0,10,14,42,14,58,0,4,0,0,5,16,7,19,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,143
SSC40882,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,9
SSC40883,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
SSC40884,194,386,0,7,18,90,3,7,103,390,127,497,16,66,37,111,34,102,87,279,207,782,0,6,8,30,0,0,12,33,25,67,3,3,12,34,24,42,41,79,57,154,6,20,476,1335
SSC40885,11,20,0,0,0,4,0,0,3,14,5,22,0,4,0,3,0,0,0,6,9,27,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,22,51
SSC40886,527,1053,5,37,39,183,7,36,304,1139,357,1396,25,106,48,157,65,203,134,469,494,1863,4,20,10,37,7,9,99,245,114,320,8,31,56,121,125,256,188,407,304,728,46,101,1376,3741
SSC40887,3,3,0,0,0,0,0,0,7,22,7,22,0,0,0,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25
SSC40888,287,565,4,12,27,110,11,42,161,637,200,803,24,82,28,87,64,208,116,375,316,1181,0,0,17,45,0,0,41,106,59,156,4,16,14,29,45,93,64,135,124,291,13,26,733,2055
SSC40889,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40890,30,59,0,0,0,6,0,0,17,61,17,67,3,14,0,5,6,25,12,50,33,118,0,0,0,3,0,0,0,9,0,10,0,0,0,4,3,6,0,5,3,19,0,0,70,196
SSC40891,548,1093,9,49,39,206,19,92,324,1198,392,1543,22,93,36,123,84,280,145,495,536,2037,3,6,18,58,11,28,82,205,117,297,9,36,34,77,103,208,148,323,261,624,16,38,1357,3789
SSC40892,758,1505,8,57,69,326,18,97,457,1753,564,2234,54,220,67,237,193,633,314,1097,874,3327,6,21,19,55,6,26,103,264,130,365,19,64,39,77,118,248,174,387,303,754,24,49,1967,5639
SSC40893,641,1270,8,54,72,335,14,65,376,1432,473,1882,44,169,48,170,149,461,235,793,706,2677,3,12,21,70,5,14,83,243,115,343,11,46,25,54,99,206,136,310,254,652,19,52,1624,4647
SSC40894,0,3,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,3,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17
SSC40895,20,36,0,9,0,12,4,14,14,59,20,86,0,3,3,3,7,8,9,18,27,110,0,0,0,0,0,4,0,8,3,9,0,0,3,4,5,3,4,8,9,19,0,0,57,162
SSC40896,23,40,0,0,3,17,0,0,7,31,15,49,0,7,3,8,0,3,3,14,19,66,0,0,0,4,0,0,3,6,5,16,0,0,0,3,0,5,3,8,9,18,0,0,39,126
SSC40897,161,309,3,21,16,73,4,12,50,199,72,306,6,33,11,30,38,102,52,165,127,472,3,14,5,18,0,11,19,47,23,83,0,5,3,3,17,25,14,35,40,119,3,6,332,911
SSC40898,21,32,0,0,4,9,0,0,11,42,13,50,0,0,0,3,0,3,3,8,17,56,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,36,95
SSC40899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40900,39,70,0,0,9,31,3,14,18,61,27,108,0,9,10,23,4,14,15,44,42,152,0,0,0,0,0,0,3,10,3,10,0,0,0,4,0,4,5,4,5,18,0,0,87,241
SSC40901,4,5,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,4,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22
SSC40902,16,34,0,0,0,3,0,0,8,34,13,39,0,0,0,3,0,0,3,5,11,45,0,0,0,0,0,0,0,4,0,4,0,5,0,0,6,9,7,10,5,12,0,0,39,100
SSC40903,0,0,0,0,0,3,0,0,3,8,6,5,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
SSC40904,3,4,0,0,0,9,0,0,0,7,4,12,0,0,0,0,0,4,3,4,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24
SSC40905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40906,92,184,0,7,4,21,4,10,12,57,25,103,0,0,0,11,6,19,9,31,31,131,0,4,0,0,0,3,23,65,27,68,0,3,3,7,8,14,11,27,32,96,3,3,161,411
SSC40907,405,797,3,6,15,75,13,50,103,391,131,526,4,15,16,47,31,94,49,163,181,685,0,3,4,22,7,23,31,87,45,131,3,5,7,17,21,38,28,68,73,196,5,13,666,1695
SSC40908,33,67,0,0,3,17,0,4,11,37,13,57,0,0,3,9,3,7,3,13,15,65,0,0,0,0,0,0,3,17,3,17,0,0,0,0,3,3,3,3,11,21,0,0,56,151
SSC40909,96,187,0,8,11,38,0,9,59,238,72,291,0,17,13,31,18,42,27,90,100,379,0,0,3,14,0,0,12,25,13,38,0,3,0,3,10,15,8,21,25,59,0,0,212,629
SSC40910,8,18,0,5,0,0,0,0,4,13,7,24,0,0,0,5,0,0,0,5,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43
SSC40911,25,50,0,0,0,5,0,3,7,45,9,55,0,6,0,3,3,9,6,21,21,71,0,0,0,12,0,3,3,15,7,29,0,0,0,0,0,3,0,3,11,33,0,0,46,153
SSC40912,29,57,0,0,0,10,0,0,8,16,5,27,0,0,0,0,4,3,4,3,11,32,0,0,0,4,0,0,9,17,6,19,0,0,0,0,3,7,3,7,14,31,0,0,48,120
SSC40913,6,16,0,0,3,15,0,8,6,27,9,47,3,11,0,3,0,4,3,14,14,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,73
SSC40914,3,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,19
SSC40915,78,158,0,0,4,12,0,0,10,40,13,51,0,9,3,12,8,32,18,50,30,104,0,0,0,0,0,8,17,40,19,46,0,0,0,0,4,17,4,17,27,62,0,0,135,324
SSC40916,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,3,3,3,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
SSC40917,2468,4903,30,164,166,789,75,336,1259,4723,1527,6012,109,445,148,504,509,1597,765,2540,2291,8552,10,51,112,404,51,191,608,1573,794,2223,64,191,167,350,479,1015,712,1560,1503,3782,111,225,6367,17466
SSC40918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40919,309,607,4,17,16,63,3,23,149,565,173,667,13,37,20,62,39,135,65,235,240,907,0,0,5,28,3,10,63,181,73,228,6,11,26,53,82,178,109,242,183,469,28,61,766,2042
SSC40920,0,3,0,0,0,3,0,0,3,10,3,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15
SSC40921,4,3,0,0,0,6,0,0,5,13,3,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18
SSC40922,20,43,0,0,0,7,0,4,3,20,7,30,0,7,0,0,6,15,8,17,13,48,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,3,7,0,0,38,99
SSC40923,1399,2770,30,192,145,655,30,141,942,3690,1150,4674,77,329,149,503,257,815,485,1642,1635,6316,5,29,60,212,16,62,268,712,355,1018,32,99,98,221,163,340,294,663,648,1681,45,88,3730,10849
SSC40924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40925,21,35,0,0,0,3,0,0,11,39,12,42,3,4,7,27,0,11,14,48,28,91,0,0,0,4,0,0,0,3,0,3,0,0,0,0,3,5,3,5,4,12,0,0,51,137
SSC40926,14,20,0,0,0,3,0,5,13,40,9,47,0,0,0,0,5,17,5,17,16,64,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,3,3,8,0,0,31,93
SSC40927,15,25,3,14,0,0,0,0,6,31,8,48,0,0,3,7,4,11,6,18,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,93
SSC40928,13,28,0,0,0,0,0,3,4,20,5,25,0,0,0,3,0,3,0,8,5,30,0,0,0,0,0,3,0,4,4,5,0,0,0,0,0,0,0,0,4,11,0,0,26,76
SSC40929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40930,51,97,0,9,4,22,0,0,6,46,15,70,0,7,0,9,5,16,11,29,24,100,0,0,4,7,0,4,12,24,13,42,0,3,0,3,5,17,13,25,20,63,0,3,100,262
SSC40931,11,18,0,0,0,8,0,0,3,9,3,13,0,0,0,0,3,9,3,9,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40
SSC40932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40933,178,350,4,10,25,96,16,56,103,398,140,566,6,38,16,44,33,97,50,181,189,744,0,0,5,26,0,3,24,59,32,88,0,0,8,15,10,25,20,44,53,127,0,3,424,1227
SSC40934,0,3,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
SSC40935,20,44,0,0,0,0,0,3,9,29,10,34,3,11,0,9,3,8,5,23,14,57,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,3,37,105
SSC40936,4,5,0,0,0,0,0,0,4,22,4,22,0,3,0,0,3,4,0,11,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33
SSC40937,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SSC40938,9,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,13,27
SSC40939,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40940,2696,5313,41,218,260,1226,76,352,1451,5721,1824,7518,106,434,172,530,404,1266,682,2233,2505,9746,14,66,97,323,43,147,622,1663,770,2198,38,115,126,278,352,741,515,1130,1290,3329,77,158,6571,18547
SSC40941,41,82,0,6,4,15,0,4,15,48,20,77,3,18,3,13,4,15,12,48,32,125,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,11,5,11,4,12,0,0,76,215
SSC40942,3,7,0,8,0,7,0,0,4,16,6,24,0,0,0,4,0,0,0,4,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35
SSC40943,16,40,0,0,3,14,0,0,11,43,15,57,0,7,4,12,3,12,10,30,19,81,0,0,0,0,0,0,3,9,3,9,0,0,0,6,0,3,4,9,8,16,0,0,43,135
SSC40944,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40945,21,41,3,5,3,22,0,0,10,45,17,79,0,4,0,0,3,13,3,18,25,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,139
SSC40946,8,15,0,0,0,3,0,0,4,16,3,20,0,0,0,5,0,0,0,5,7,23,0,0,0,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,9,0,0,15,42
SSC40947,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,10
SSC40948,9,17,0,0,0,11,0,0,5,21,11,35,0,0,0,0,0,4,0,4,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57
SSC40949,11,18,0,0,0,0,0,0,3,16,3,16,0,3,3,11,0,3,3,17,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,19,52
SSC40950,0,3,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SSC40951,54,110,0,0,6,26,0,7,20,83,29,113,5,20,8,34,14,31,27,83,56,197,0,0,0,0,0,0,3,3,3,3,0,0,0,9,0,0,3,11,8,13,0,0,118,323
SSC40952,137,276,3,13,9,41,0,7,60,223,74,289,6,21,7,24,18,61,32,109,107,395,0,0,3,16,0,5,19,51,26,68,0,4,0,4,8,28,17,33,41,103,0,3,287,772
SSC40953,26,52,0,0,0,6,0,7,27,107,29,119,0,6,0,3,3,18,6,34,38,148,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,4,7,5,9,0,0,67,208
SSC40954,3,8,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,9,0,0,8,27
SSC40955,4,10,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,5,3,4,0,0,9,23
SSC40956,89,177,4,17,15,73,3,8,36,159,56,259,6,23,12,39,20,61,34,120,99,378,0,0,0,0,0,3,7,9,3,14,0,0,4,5,3,6,9,18,13,30,0,0,203,591
SSC40957,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC40958,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC40959,7,6,0,0,3,9,0,3,4,16,4,28,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,41
SSC40960,4,10,0,0,0,8,0,0,9,42,10,51,0,4,0,0,3,9,3,7,11,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,74
SSC40961,4,7,0,0,0,3,0,0,3,13,5,21,0,0,0,0,0,6,0,6,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33
SSC40962,26,54,0,8,3,17,0,9,18,57,21,89,0,0,4,4,9,23,7,32,34,124,0,0,0,3,0,0,0,3,3,8,0,0,0,0,0,3,0,3,3,9,0,0,67,193
SSC40963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40964,8,11,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,6,3,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22
SSC40965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40966,19,47,0,0,0,0,0,0,8,29,8,29,0,4,0,3,7,13,7,16,12,48,0,0,0,3,0,0,0,4,3,4,0,0,0,0,4,3,5,7,8,16,0,0,42,104
SSC40967,65,121,3,17,7,31,0,3,26,96,33,149,3,12,10,21,10,29,18,63,55,207,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,5,15,5,15,0,3,120,350
SSC40968,11,15,0,0,4,17,0,0,3,26,7,35,0,4,0,4,0,0,4,13,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,71
SSC40969,3,3,0,0,0,0,0,0,3,18,3,18,0,0,0,0,0,4,0,4,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
SSC40970,321,627,3,35,26,111,11,55,239,934,283,1141,11,44,18,70,53,169,85,279,364,1423,4,14,16,46,12,44,166,460,196,570,3,11,20,52,69,150,94,210,292,780,10,29,992,2857
SSC40971,20,37,0,10,4,15,3,13,8,35,16,74,0,4,0,13,14,37,16,54,28,122,0,6,0,3,0,0,7,11,4,23,0,0,0,3,0,3,0,3,11,29,3,3,54,188
SSC40972,406,825,12,61,46,230,17,82,499,1990,565,2357,19,97,27,102,66,229,118,422,680,2780,7,29,34,156,16,64,244,688,302,940,17,42,19,39,69,147,98,235,403,1176,22,43,1519,4826
SSC40973,23,37,0,0,0,0,0,0,3,16,3,16,0,0,0,5,0,3,3,5,4,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,26,66
SSC40974,4,17,0,0,3,5,0,0,3,29,9,31,0,0,0,0,0,3,0,3,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,18,58
SSC40975,3,6,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,25
SSC40976,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16
SSC40977,3,5,0,15,0,4,0,0,0,5,3,23,0,0,0,0,0,4,0,4,3,28,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,5,13,42
SSC40978,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,13
SSC40979,1590,3153,13,79,116,544,49,246,669,2644,854,3508,43,185,106,350,232,719,381,1256,1235,4763,15,80,55,206,31,105,377,1069,479,1456,24,64,63,142,236,506,321,716,801,2176,60,137,3683,10228
SSC40980,166,319,3,27,17,68,8,29,50,189,76,313,12,31,11,35,32,101,53,169,128,479,0,0,0,3,0,0,15,37,18,46,0,3,3,10,18,37,24,49,43,91,3,3,335,901
SSC40981,15,27,0,3,0,3,5,9,4,29,11,42,0,0,0,6,4,13,7,17,14,63,0,0,0,0,0,0,4,14,4,14,0,0,0,0,3,3,4,3,5,19,0,3,40,112
SSC40982,17,34,0,0,3,8,0,0,12,66,14,77,4,11,3,6,8,23,11,42,29,115,0,0,0,3,0,3,0,0,3,6,0,0,0,0,0,0,0,0,3,6,0,0,47,154
SSC40983,11,25,0,0,0,0,0,0,7,18,7,18,0,0,0,3,0,4,0,7,6,23,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,23,50
SSC40984,23,49,0,0,3,13,0,0,14,51,14,58,0,9,0,5,0,6,5,18,17,73,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,3,0,3,6,12,0,0,50,137
SSC40985,8,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15
SSC40986,108,208,0,4,15,66,0,6,81,320,102,401,7,38,26,86,32,94,63,216,165,613,0,0,0,5,0,0,10,25,8,26,3,11,4,8,16,28,18,45,33,71,0,3,300,898
SSC40987,63,126,0,15,12,54,0,0,22,87,30,151,3,9,3,10,13,30,16,58,50,207,0,0,0,5,3,7,3,13,9,22,0,5,0,3,10,16,13,21,19,47,3,6,138,390
SSC40988,76,162,3,12,5,36,3,22,57,208,67,277,3,22,3,11,11,39,22,78,93,353,0,0,0,3,0,0,10,28,8,30,0,0,4,10,6,14,7,20,20,56,3,4,198,573
SSC40989,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26
SSC40990,285,564,0,6,40,171,0,6,148,575,185,760,22,72,67,222,43,126,126,419,309,1178,0,0,4,16,0,9,24,55,27,78,8,17,14,21,30,56,48,98,74,178,11,26,678,1944
SSC40991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40992,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40994,164,330,0,10,29,136,7,15,170,649,206,813,17,64,32,100,42,140,88,307,297,1121,0,0,0,4,0,7,22,60,29,71,4,12,11,24,28,58,44,91,66,161,15,35,542,1648
SSC40995,3,15,0,0,0,4,0,0,0,5,0,12,0,0,0,0,0,3,0,3,3,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,0,14,30
SSC40996,503,978,11,56,64,296,12,54,410,1552,497,1963,45,179,52,177,93,297,188,655,689,2610,0,3,17,65,3,19,93,261,119,345,18,52,26,60,57,121,99,223,220,570,12,33,1423,4191
SSC40997,3,5,0,0,0,4,0,0,0,4,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,15
SSC40998,32,63,0,0,0,8,0,13,5,26,10,47,0,10,4,12,6,22,12,35,23,81,0,0,0,0,0,0,3,9,3,9,0,4,0,0,0,3,3,8,4,12,0,0,55,157
SSC40999,56,113,0,4,0,8,0,13,39,157,43,184,0,3,0,3,9,18,10,29,51,210,0,0,0,0,0,0,12,33,12,33,0,0,3,6,11,19,13,31,27,65,6,5,134,387
SSC41000,5,13,0,0,3,5,0,0,11,37,7,40,0,3,0,4,0,3,3,13,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,66
SSC41001,80,154,0,6,3,21,0,10,51,204,60,236,3,10,3,13,21,56,25,88,87,327,0,0,3,13,0,0,7,17,9,35,0,6,0,3,4,19,13,28,23,60,0,0,185,531
SSC41002,712,1406,8,33,57,272,10,52,378,1501,450,1858,19,77,45,143,87,255,150,476,605,2338,3,9,17,49,10,26,88,244,112,322,3,16,26,54,62,125,88,195,205,517,16,36,1537,4298
SSC41003,10,15,0,0,0,8,0,0,4,15,8,27,0,0,0,7,0,6,3,10,10,32,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,7,0,0,19,60
SSC41004,13,27,0,0,0,0,0,0,11,59,11,59,0,6,0,0,3,9,3,16,15,70,0,5,0,3,0,0,4,11,3,23,0,4,3,11,3,7,3,19,13,41,3,3,43,141
SSC41005,0,3,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,6,0,6,4,10,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,5,10,17
SSC41006,10,21,0,3,0,4,0,0,3,8,5,20,0,3,0,0,3,3,4,8,11,31,0,0,0,3,0,0,3,4,4,6,0,0,0,0,0,0,0,0,4,6,0,0,20,60
